system:index,built_frac,dist_water_m,elevation_m,lat,lon,lst_c,ndvi,.geo
5875,0.6212718635797501,4360.33255612459,900,12.854579562811601,77.77241431549919,41.157410270000014,0.38707460806268057,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.77241431549919,12.854579562811601]}"
5876,0.25546661228872836,4429.44691807002,898,12.854564962648402,77.7737951222755,42.00337022000002,0.35858049730398533,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.7737951222755,12.854564962648402]}"
5877,0.616963415988721,4502.49930594109,895,12.854550355237253,77.7751759273499,43.20993127999998,0.3166337880377754,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.7751759273499,12.854550355237253]}"
5878,0.43182642105966806,4579.301256742124,890,12.854535740578193,77.77655673072157,43.045866320000016,0.32888282437474103,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.77655673072157,12.854535740578193]}"
5879,0.043435607687570155,4659.66737010272,884,12.854521118671267,77.77793753238963,44.47801670000001,0.35985344150745874,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.77793753238963,12.854521118671267]}"
5880,0.03689142887014896,4743.416490252569,883,12.854506489516513,77.77931833235328,43.616675660000055,0.37182632105631364,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.77931833235328,12.854506489516513]}"
5881,0.07596905448008329,4830.372656431386,883,12.854491853113977,77.78069913061165,42.12300091999998,0.33291311536810186,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.78069913061165,12.854491853113977]}"
5882,0.4133900726446882,4920.365840057018,883,12.854477209463697,77.78207992716392,39.76456712000004,0.4232583331452687,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.78207992716392,12.854477209463697]}"
5883,0.6009942379314452,5013.232490120521,884,12.854462558565718,77.78346072200921,40.130295260000025,0.40990366088631985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.78346072200921,12.854462558565718]}"
5884,0.650952318799682,4950.0,883,12.854447900420077,77.7848415151467,39.74234999000001,0.3203355194376431,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.7848415151467,12.854447900420077]}"
5885,0.22256172879133373,4800.0,880,12.85443323502682,77.78622230657552,40.246507940000015,0.3517485372159477,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.78622230657552,12.85443323502682]}"
5886,0.04321013786830008,4650.0,876,12.854418562385987,77.78760309629487,41.641060100000004,0.3281477022444112,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.78760309629487,12.854418562385987]}"
5887,0.04199772060383111,4500.0,875,12.85440388249762,77.78898388430389,41.91108367999999,0.28937299195292354,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.78898388430389,12.85440388249762]}"
5888,0.051458795787766576,4350.0,875,12.854389195361762,77.7903646706017,40.51311350000003,0.3358385281178681,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.7903646706017,12.854389195361762]}"
5889,0.08435334009118378,4200.0,874,12.854374500978452,77.7917454551875,39.79532929999999,0.3124439808978385,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.7917454551875,12.854374500978452]}"
5890,0.04709746141452342,4050.0,876,12.854359799347733,77.79312623806042,40.77630104000002,0.29011083541325466,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.79312623806042,12.854359799347733]}"
5891,0.36914672795683146,4183.897704294406,769,12.859125990618493,77.45203608741048,40.034590700000024,0.3567002557698675,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45203608741048,12.859125990618493]}"
5892,0.7073124146554619,4038.873605350878,780,12.859113071654125,77.45341727359488,39.84659960000002,0.32423607850732417,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45341727359488,12.859113071654125]}"
5893,0.6602554358541965,3894.226495724151,782,12.859100145431926,77.45479845827334,39.897869900000046,0.3042073107743164,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45479845827334,12.859100145431926]}"
5894,0.5911585135618225,3750.0,784,12.859087211951927,77.45617964144503,40.08586100000002,0.29165443694354765,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45617964144503,12.859087211951927]}"
5895,0.4701347262598574,3606.2445840513924,781,12.859074271214167,77.45756082310909,38.29140050000001,0.40527636867880157,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45756082310909,12.859074271214167]}"
5896,0.517317320802249,3463.0189141845585,779,12.859061323218686,77.45894200326467,36.96179072000001,0.5609367183591797,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45894200326467,12.859061323218686]}"
5897,0.517317320802249,3320.391543176798,782,12.859048367965515,77.46032318191092,37.09167548000005,0.4429745543144421,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46032318191092,12.859048367965515]}"
5898,0.5399567654822022,3178.4430150625635,781,12.859035405454698,77.461704359047,38.82802964000001,0.37888963170049833,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.461704359047,12.859035405454698]}"
5899,0.6506198653951287,3037.268509697488,775,12.859022435686265,77.46308553467208,38.349506840000004,0.4865492345945299,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46308553467208,12.859022435686265]}"
5900,0.697873417288065,2896.981187374195,772,12.859009458660257,77.46446670878531,38.433248330000026,0.5519488825438061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46446670878531,12.859009458660257]}"
5901,0.5878651291131973,2757.7164466275353,771,12.85899647437671,77.46584788138581,38.39052307999998,0.512080504700705,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46584788138581,12.85899647437671]}"
5902,0.3620426843408495,2619.637379485947,767,12.85898348283566,77.46722905247277,39.38174888000003,0.4122113486584437,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46722905247277,12.85898348283566]}"
